id,code,name,ehr_code,created_by,last_modified_by
001a00e5d61545cd9de7ca8087cc6a88,ZW04030C,SANYATI,ILB0089,system,system
001a00e5d61545cd9de7ca8087cc6a89,ZW04030D,ST MICHAELS,ILB0090,system,system
001a00e5d61545cd9de7ca8087cc6a90,ZW04020A,KAROI,ILB0091,system,system
001a00e5d61545cd9de7ca8087cc6a91,ZW04020D,CHIDAMOYO,ILB0092,system,system
001a00e5d61545cd9de7ca8087cc6a92,ZW040184,CHEGUTU,ILB0093,system,system
001a00e5d61545cd9de7ca8087cc6a93,ZWL0000037,NORTON,ILB0094,system,system
001a00e5d61545cd9de7ca8087cc6a94,ZW04040A,KARIBA,ILB0095,system,system
001a00e5d61545cd9de7ca8087cc6a95,ZW000A0E,ST ANNES,ILB0096,system,system
001a00e5d61545cd9de7ca8087cc6a96,ZW04060E,FATHER O'HEA,ILB0097,system,system
001a00e5d61545cd9de7ca8087cc6a97,ZWL0000050,BANKET,ILB0098,system,system
001a00e5d61545cd9de7ca8087cc6a98,ZW02010A,BINDURA,ILB0099,system,system
001a00e5d61545cd9de7ca8087cc6a99,ZW02050A,MT DARWIN,ILB0100,system,system
001a00e5d61545cd9de7ca8087cc6a100,ZW02050B,KARANDA,ILB0101,system,system
001a00e5d61545cd9de7ca8087cc6a101,ZWL0000013,CONCESSION,ILB0102,system,system
001a00e5d61545cd9de7ca8087cc6a102,ZWL0000014,HOWARD,ILB0103,system,system
001a00e5d61545cd9de7ca8087cc6a103,ZW02040E,MVURWI,ILB0104,system,system
001a00e5d61545cd9de7ca8087cc6a104,ZW02070A,SHAMVA,ILB0105,system,system
001a00e5d61545cd9de7ca8087cc6a105,ZW02080B,CHITSUNGO,ILB0106,system,system
001a00e5d61545cd9de7ca8087cc6a106,ZW06010A,BEIT BRIDGE,ILB0107,system,system
001a00e5d61545cd9de7ca8087cc6a107,ZW02020A,ST ALBERTS,ILB0108,system,system
001a00e5d61545cd9de7ca8087cc6a108,ZW02030B,GURUVE,ILB0109,system,system
001a00e5d61545cd9de7ca8087cc6a109,ZW020627,CHIMHANDA,ILB0110,system,system
001a00e5d61545cd9de7ca8087cc6a110,ZW02060B,MARY MOUNT,ILB0111,system,system
001a00e5d61545cd9de7ca8087cc6a111,ZW01050A,MUTARE,ILB0112,system,system
001a00e5d61545cd9de7ca8087cc6a112,ZWL0000051,MIDH,ILB0113,system,system
001a00e5d61545cd9de7ca8087cc6a113,ZWL0000041,ST JOSEPH'S,ILB0114,system,system
001a00e5d61545cd9de7ca8087cc6a114,ZWL0000043,OLD MUTARE,ILB0115,system,system
001a00e5d61545cd9de7ca8087cc6a115,ZWL0000032,HAUNA,ILB0116,system,system
001a00e5d61545cd9de7ca8087cc6a116,ZWL0000042,BONDA,ILB0117,system,system
001a00e5d61545cd9de7ca8087cc6a117,ZWL0000015,MAPHISA,ILB0118,system,system
001a00e5d61545cd9de7ca8087cc6a118,ZW01070A,NYANGA,ILB0119,system,system
001a00e5d61545cd9de7ca8087cc6a119,ZWL000008,REGINA CEOLI,ILB0120,system,system
001a00e5d61545cd9de7ca8087cc6a120,ZW01010C,MURAMBINDA,ILB0121,system,system
001a00e5d61545cd9de7ca8087cc6a121,ZWL0000044,BIRCHENOUGH BRIDGE,ILB0122,system,system
001a00e5d61545cd9de7ca8087cc6a122,ZWL0000035,MUTAMBARA,ILB0123,system,system
001a00e5d61545cd9de7ca8087cc6a123,ZWL0000040,RUSAPE,ILB0124,system,system
001a00e5d61545cd9de7ca8087cc6a124,ZWL0000029,CHIPINGE,ILB0125,system,system
001a00e5d61545cd9de7ca8087cc6a125,ZWL0000039,ST PETER'S CHECHECHE,ILB0126,system,system
001a00e5d61545cd9de7ca8087cc6a126,ZWL0000034,MT SELINDA,ILB0127,system,system
001a00e5d61545cd9de7ca8087cc6a127,ZWL000002,AIBST,,system,system
001a00e5d61545cd9de7ca8087cc6a128,ZWL000003,BRTI,,system,system
001a00e5d61545cd9de7ca8087cc6a129,ZWL000004,NVRL,,system,system
001a00e5d61545cd9de7ca8087cc6a130,ZWL0000036,MUTAREDISTRICT,,system,system
001a00e5d61545cd9de7ca8087cc6a131,ZWL000006,PSI,,system,system
